Star,Count,Feedback
4,2,Нормальный крем
4,2,Хороший крем
5,9,Отличный крем.
5,54,Отличный крем
5,21,Хороший крем.
5,2,Классный крем!
5,10,Рекомендую
5,4,Соответствует описанию.
5,2,"Отличный крем, заказываю не первый раз"
5,2,Любимый крем
5,21,Отличный крем!
5,5,Всё хорошо
5,2,Крем хороший 
5,16,Хороший крем!
5,2,хороший крем
5,2,Всё супер.
5,15,Все хорошо
5,3,👍👍👍👍👍👍👍
5,13,Крем хороший
5,82,Хороший крем
5,2,"Отличный крем, приятный запах"
5,17,Крем отличный
5,2,Понравилось
5,3,Приятно пахнет
5,2,Крем очень хороший
5,2,Крем понравился 
5,5,Крем классный
5,5,Отличный крем 
5,2,Крем супер!!!
5,8,👍👍👍👍👍
5,7,Понравился
5,2,Отличный крем! 
5,2,Всё отлично!
5,3,Нормальный крем
5,3,Крем супер.
5,3,Хороший крем .
5,2,"Отличный крем, быстрая доставка."
5,6,Очень понравился
5,2,крем хороший
5,4,Крем отличный!
5,2,Крем отличный.
5,4,Мне нравится
5,12,Крем супер
5,11,Все отлично
5,2,Жене понравился.
5,10,Крем понравился
5,2,"Хороший крем, приятных запах"
5,11,Очень хороший крем
5,2,Супер крем
5,2,Отличный крем!!!
5,2,Мне понравился
5,3,Жене понравилось
5,2,Отличный крем👍
5,2,Хороший крем. Спасибо!
5,2,Нормальный
5,2,👍👍👍👍👍👍👍👍👍👍
5,2,Спасибо всё отлично
5,8,Классный крем
5,2,Ещё не пробовала
5,3,Все отлично!
5,6,Крем супер!
5,2,Всё хорошо 
5,2,Замечательный крем
5,2,"Хороший крем, рекомендую."
5,5,Всё отлично
5,2,отличный крем
5,2,Еще не пробовала
5,2,Крем очень хороший.
5,3,Хороший крем. Мне понравился.
5,5,Крем хороший.
5,2,Хороший товар
5,3,Отличный товар
5,3,Всё отлично.
5,4,Очень хороший крем.
5,2,Всё хорошо.
5,3,Все хорошо.
5,2,Всё отлично. Спасибо
5,3,Мой любимый крем
5,2,"Крем понравился, хорошо увлажняет."
5,4,Соответствует описанию
5,2,"Хороший крем, рекомендую"
5,3,Быстрая доставка
5,2,Кремом довольна.
5,2,Понравился.
5,2,Как всегда отличный крем
5,3,Хороший крем. Рекомендую.
5,2,Заказываю второй раз
5,2,"Крем, просто супер."
5,2,Все отлично.
5,3,Очень понравился!
5,4,Очень хороший
5,2,"Заказываю не первый раз, мне нравится"
5,2,Хороший 👍
5,2,Крем понравился.
5,2,"Крем супер, рекомендую"
5,2,Любимый крем.
5,2,Классный крем.
5,2,Рекомендую!!!
5,2,Товаром довольна
5,2,Хороший крем)
5,2,все хорошо
5,3,Хороший крем 
5,2,Я довольна
5,2,Крем замечательный.
5,2,Крем хороший. Спасибо
5,2,"Крем пришел хорошо упакованный, беру не в первый раз, мне подходит, нравится"
5,2,Крем супер. Советую.
5,2,Очень хороший крем!
